ticker,anchor_2019,anchor_2025,pct_within_5y_2019,pct_within_5y_2025,wam_2019,wam_2025,wam_change_yrs,total_2019,total_2025
AAP,2019-12-28,2024-12-28,1.0,0.5277777777777778,3.1,5.333333333333333,2.233333333333333,750002019.0,1800002024.0
ABG,,2025-12-31,,0.6839205209550844,,4.616964434797128,,0.0,3593402025.0
ABR,2019-12-31,2025-12-31,0.9223435266217455,0.9860642103139796,2.3616309133223177,1.5112395770070306,-0.8503913363152871,4678865019.0,11074796025.0
ADT,,2025-12-31,,0.6000645193717106,,5.32437293632892,,0.0,7799210025.0
BXMT,2019-12-31,2025-12-31,0.0,0.9500458044179872,8.5,2.8571299311051357,-5.642870068894864,1002156019.0,14024850025.0
CE,2019-12-31,2025-12-31,0.7244455773642621,0.5731265743073047,4.281799643130258,5.154990554156171,0.8731909110259135,3923002019.0,12704002025.0
CWEN,2019-12-31,2025-12-31,0.43846602508019833,0.6205902697717316,5.382764654418198,4.800783952040581,-0.5819807023776171,6858002019.0,8674002025.0
CWEN-A,2019-12-31,2025-12-31,0.43846602508019833,0.6205902697717316,5.382764654418198,4.800783952040581,-0.5819807023776171,6858002019.0,8674002025.0
CZR,2019-12-31,2025-12-31,0.4314467738265424,0.551784964300714,6.250279039449768,5.958378832423351,-0.2919002070264165,2597305019.0,11905002025.0
DXC,2019-03-31,2025-03-31,0.5861205508853514,0.8190661478599222,4.596226077624754,3.1467481934408004,-1.449477884183954,5591002019.0,3598002025.0
GPI,2019-12-31,2025-12-31,0.8385829393354198,0.8954130417216581,3.7938669507891056,3.8561558973253964,0.0622889465362908,1501702019.0,3712702025.0
HTZ,2019-12-31,2025-12-31,0.9168899242865463,0.9730279602394931,2.760512521840419,2.377405103760972,-0.38310741807944737,17170002019.0,17203002025.0
JBLU,2019-12-31,2025-12-31,0.62853470437018,0.47528830313014825,4.563410454155956,5.768886796893387,1.2054763427374313,2334002019.0,8498002025.0
LKQ,2019-12-31,2025-12-31,0.7209863100088261,0.5953991880920162,5.178454656232549,4.914343707713126,-0.26411094851942263,4072028019.0,3695002025.0
LTH,,2025-12-31,,0.05252640088432391,,8.157944064939587,,0.0,1525235025.0
MPT,2019-12-31,2025-12-31,1.0,0.5091601233339219,3.800625543302255,5.22049397042297,1.419868427120715,2933452019.0,9830874025.0
NWL,2019-12-31,2025-12-31,0.4552420335684748,0.6638406104281476,5.888921708308719,4.779779567613396,-1.1091421406953232,5755402019.0,4718002025.0
OGN,,2025-12-31,,0.4172603999080671,,5.998965754998851,,0.0,8702002025.0
OI,2019-12-31,2025-12-31,0.7862873814733771,0.6695900469100551,4.615791393143691,4.891189067917601,0.2753976747739104,5484002019.0,4903002025.0
PENN,2019-12-31,2025-12-31,0.39214551467548575,0.9983815984298061,6.361471682513435,2.385885472263352,-3.975586210250083,2419002019.0,2904102025.0
RHP,2019-12-31,2025-12-31,0.6133397776703722,0.4978535322908246,5.563315611406477,5.624351072219035,0.061035460812558284,2586252019.0,4040128025.0
RITM,2019-12-31,2025-12-31,0.8111907207409077,1.0,3.595337053786753,1.5786705373446777,-2.0166665164420756,5939959019.0,29902429025.0
RUN,2019-12-31,2025-12-31,0.5241038002282803,0.5022392483808209,5.83716361981827,5.695440381925654,-0.14172323789261565,2303311019.0,14859229025.0
SABR,2019-12-31,2025-12-31,1.0,1.0,3.792014201757591,3.63996083875842,-0.15205336299917116,3363811019.0,4532034025.0
SAFE,2019-12-31,2025-12-31,0.6611987411082182,0.27349813849141197,5.080761912411911,7.197330146095616,2.1165682336837044,3436040019.0,4640593025.0
SLG,2019-12-31,2025-12-31,0.8078803173625957,0.9113551517752879,3.8356594510367024,2.1164100918309043,-1.719249359205798,5551885019.0,4044501025.0
TRN,2019-12-31,2025-12-31,1.0,0.8512393670538736,0.5,3.257632854660203,2.757632854660203,219302019.0,5466502025.0
TWO,,2025-12-31,,1.0,,0.7164697443621042,,0.0,8557184025.0
VAC,2019-12-31,2025-12-31,0.1353750554815801,0.6066012488849242,7.701065246338215,4.496134403806125,-3.2049308425320904,2253002019.0,3363002025.0
VSAT,2019-03-31,2025-03-31,0.06924685320514602,0.8019760489431622,8.084518880769124,4.547265130773048,-3.5372537499960766,1439562019.0,7204277025.0
